"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\lib\data\model\product_model\variation_value.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 9, 10, 35
"e:\new\bekam\lib\data\model\registeration_type.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"e:\new\bekam\lib\data\model\search_result_model.dart", "Dart", 0, 0, 0, -161, 0, 0, 0, 0, -24, -185
"e:\new\bekam\lib\data\model\store_model\store_model.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"e:\new\bekam\lib\data\repository\api_result.dart", "Dart", 0, 0, 0, -9, 0, 0, 0, 0, -4, -13
"e:\new\bekam\lib\data\repository\api_result.freezed.dart", "Dart", 0, 0, 0, -290, 0, 0, 0, -18, -47, -355
"e:\new\bekam\lib\data\repository\banner_repo.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 16, 8, 51
"e:\new\bekam\lib\data\repository\categories.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 17, 6, 50
"e:\new\bekam\lib\data\repository\latest_product_repo.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 16, 8, 49
"e:\new\bekam\lib\data\repository\network_exception.dart", "Dart", 0, 0, 0, -148, 0, 0, 0, -7, -24, -179
"e:\new\bekam\lib\data\repository\network_exception.freezed.dart", "Dart", 0, 0, 0, -3519, 0, 0, 0, -66, -277, -3862
"e:\new\bekam\lib\data\repository\popular_product_repo.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 16, 8, 50
"e:\new\bekam\lib\data\repository\serach_repo.dart", "Dart", 0, 0, 0, -36, 0, 0, 0, -4, -7, -47
"e:\new\bekam\lib\data\repository\set_model_repo.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 16, 8, 51
"e:\new\bekam\lib\data\webServices\search_webservices.dart", "Dart", 0, 0, 0, -17, 0, 0, 0, 0, -5, -22
"e:\new\bekam\lib\data\webServices\search_webservices.g.dart", "Dart", 0, 0, 0, -96, 0, 0, 0, -5, -14, -115
"e:\new\bekam\lib\data\web_services\delete.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 12, 3, 42
"e:\new\bekam\lib\data\web_services\dio_factory.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 10, 3, 38
"e:\new\bekam\lib\data\web_services\get.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 15, 4, 50
"e:\new\bekam\lib\data\web_services\http_request.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 10, 2, 24
"e:\new\bekam\lib\data\web_services\post.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 13, 3, 45
"e:\new\bekam\lib\data\web_services\put.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 13, 3, 45
"e:\new\bekam\lib\firebase_options.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 11, 7, 83
"e:\new\bekam\lib\json\Popular items.json", "JSON", 0, 0, 0, 0, 0, 0, 1345, 0, 0, 1345
"e:\new\bekam\lib\json\banner.json", "JSON", 0, 0, 0, 0, 0, 0, 52, 0, 0, 52
"e:\new\bekam\lib\json\banner_details.json", "JSON", 0, 0, 0, 0, 0, 0, 172, 0, 0, 172
"e:\new\bekam\lib\json\categories.json", "JSON", 0, 0, 0, 0, 0, 0, 93, 0, 0, 93
"e:\new\bekam\lib\json\category_contents.json", "JSON", 0, 0, 0, 0, 0, 0, 460, 0, 0, 460
"e:\new\bekam\lib\json\latest_products.json", "JSON", 0, 0, 0, 0, 0, 0, 1265, 0, 0, 1265
"e:\new\bekam\lib\json\null.json", "JSON", 0, 0, 0, 0, 0, 0, 380, 0, 0, 380
"e:\new\bekam\lib\json\set_menu.json", "JSON", 0, 0, 0, 0, 0, 0, 460, 0, 0, 460
"e:\new\bekam\lib\main.dart", "Dart", 0, 0, 0, -24, 0, 0, 0, 49, 6, 31
"e:\new\bekam\lib\null.json", "JSON", 0, 0, 0, 0, 0, 0, -380, 0, 0, -380
"e:\new\bekam\lib\presentation\common_widget\app_bar.dart", "Dart", 0, 0, 0, -51, 0, 0, 0, -2, -7, -60
"e:\new\bekam\lib\presentation\common_widget\app_bar\appbar_leading_image.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 13, 7, 53
"e:\new\bekam\lib\presentation\common_widget\app_bar\appbar_title.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 13, 7, 50
"e:\new\bekam\lib\presentation\common_widget\app_bar\appbar_trailing_image.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 15, 7, 53
"e:\new\bekam\lib\presentation\common_widget\app_bar\custom_app_bar.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 22, 12, 74
"e:\new\bekam\lib\presentation\common_widget\base_button.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 24, 12, 64
"e:\new\bekam\lib\presentation\common_widget\color_loader.dart", "Dart", 0, 0, 0, -11, 0, 0, 0, -3, -5, -19
"e:\new\bekam\lib\presentation\common_widget\custom_drop_doen.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 39, 23, 159
"e:\new\bekam\lib\presentation\common_widget\custom_elevated_button.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 23, 8, 97
"e:\new\bekam\lib\presentation\common_widget\custom_icon_button.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 27, 15, 105
"e:\new\bekam\lib\presentation\common_widget\custom_image_view.dart", "Dart", 0, 0, 0, 144, 0, 0, 0, 19, 23, 186
"e:\new\bekam\lib\presentation\common_widget\custom_radio_buton.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 37, 24, 170
"e:\new\bekam\lib\presentation\common_widget\custom_search_view.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 49, 26, 236
"e:\new\bekam\lib\presentation\common_widget\custom_text_form_field.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 51, 26, 189
"e:\new\bekam\lib\presentation\common_widget\show_alert_dialog.dart", "Dart", 0, 0, 0, -99, 0, 0, 0, -8, -4, -111
"e:\new\bekam\lib\presentation\common_widget\slide_to_act.dart", "Dart", 0, 0, 0, -332, 0, 0, 0, -29, -52, -413
"e:\new\bekam\lib\presentation\common_widget\theme_icon.dart", "Dart", 0, 0, 0, -15, 0, 0, 0, -2, -3, -20
"e:\new\bekam\lib\presentation\screens\cart\cart_page.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"e:\new\bekam\lib\presentation\screens\favourite\favourite_page.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"e:\new\bekam\lib\presentation\screens\home_nav\home_nav_page.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 8, 4, 47
"e:\new\bekam\lib\presentation\screens\home_page\home_page.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 7, 12, 58
"e:\new\bekam\lib\presentation\screens\landing_page.dart", "Dart", 0, 0, 0, -81, 0, 0, 0, -12, -14, -107
"e:\new\bekam\lib\presentation\screens\not_verified_mail.dart", "Dart", 0, 0, 0, -127, 0, 0, 0, 0, -3, -130
"e:\new\bekam\lib\presentation\screens\on_boarding\onboarding.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 10, 7, 90
"e:\new\bekam\lib\presentation\screens\order\order_page.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"e:\new\bekam\lib\presentation\screens\register\login\login_page.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 15, 6, 102
"e:\new\bekam\lib\presentation\screens\register\password_recovery\password_recovery.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 10, 6, 73
"e:\new\bekam\lib\presentation\screens\register\signup\signup_page.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 13, 6, 94
"e:\new\bekam\lib\presentation\screens\registeration\registeration_page.dart", "Dart", 0, 0, 0, -171, 0, 0, 0, -6, -10, -187
"e:\new\bekam\lib\presentation\screens\router_offline.dart", "Dart", 0, 0, 0, -40, 0, 0, 0, -4, -3, -47
"e:\new\bekam\lib\presentation\screens\search\search_page.dart", "Dart", 0, 0, 0, -95, 0, 0, 0, -1, -6, -102
"e:\new\bekam\lib\presentation\screens\search\search_result_page.dart", "Dart", 0, 0, 0, -115, 0, 0, 0, -60, -5, -180
"e:\new\bekam\lib\presentation\widgets\global_app_btn.dart", "Dart", 0, 0, 0, -47, 0, 0, 0, -2, -4, -53
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar.dart", "Dart", 0, 0, 0, 138, 0, 0, 0, 31, 37, 206
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar_base_btn.dart", "Dart", 0, 0, 0, 200, 0, 0, 0, 11, 14, 225
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar_btn.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 4, 6, 121
"e:\new\bekam\lib\presentation\widgets\home_nav\home_nav_bar.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 5, 5, 79
"e:\new\bekam\lib\presentation\widgets\home_page\banner\banner_item.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"e:\new\bekam\lib\presentation\widgets\home_page\banner\home_banner_container.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\base_home_page_container.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"e:\new\bekam\lib\presentation\widgets\home_page\category\category_item.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"e:\new\bekam\lib\presentation\widgets\home_page\category\home_category_container.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\home_nearby_stores_container.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 3, 72
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\store_item.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 4, 98
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_latest_product_container.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_popular_items_container.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\poduct_rate.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\product_item.dart", "Dart", 0, 0, 0, 132, 0, 0, 0, 0, 4, 136
"e:\new\bekam\lib\presentation\widgets\home_page\search\home_page_search_top_bar.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 3, 138
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\home_set_menu_container.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\set_menu_item.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"e:\new\bekam\lib\presentation\widgets\onboarding\onboarding_item.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 9, 5, 63
"e:\new\bekam\lib\presentation\widgets\register\common\facebook_login_btn.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\google_login_btn.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\or_widget.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 5, 5, 42
"e:\new\bekam\lib\presentation\widgets\register\login\login_email_text_field.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 6, 3, 30
"e:\new\bekam\lib\presentation\widgets\register\login\login_password_text_field.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 7, 3, 32
"e:\new\bekam\lib\presentation\widgets\register\password_recovery\password_recovery_email_text_field.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 9, 3, 39
"e:\new\bekam\lib\presentation\widgets\register\signup\signup_email_text_field.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 8, 3, 32
"e:\new\bekam\lib\presentation\widgets\register\signup\signup_password_text_field.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 8, 3, 33
"e:\new\bekam\lib\presentation\widgets\registeration\login_form.dart", "Dart", 0, 0, 0, -132, 0, 0, 0, -16, -11, -159
"e:\new\bekam\lib\presentation\widgets\registeration\sign_up_form.dart", "Dart", 0, 0, 0, -305, 0, 0, 0, -25, -16, -346
"e:\new\bekam\lib\presentation\widgets\registeration\text_field.dart", "Dart", 0, 0, 0, -119, 0, 0, 0, -12, -6, -137
"e:\new\bekam\lib\presentation\widgets\search\custom_background.dart", "Dart", 0, 0, 0, -85, 0, 0, 0, -5, -12, -102
"e:\new\bekam\lib\presentation\widgets\search\product_widget.dart", "Dart", 0, 0, 0, -97, 0, 0, 0, -2, -5, -104
"e:\new\bekam\lib\select_cheap.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 22, 13, 93
"e:\new\bekam\lib\trial.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 12, 7, 83
"e:\new\bekam\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -4, 0, 0, 0, -4
"e:\new\bekam\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"e:\new\bekam\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\new\bekam\pubspec.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, -25, 0, -24
"e:\new\bekam\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\new\bekam\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"e:\new\bekam\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"Total", "-", 2, 40, 1, 4439, 0, -1, 3846, 1303, 959, 10589